index,gmt_occur,amt,fund_channel,event_name,scene,user_id,opposite_user_id
0,2023-09-10 11:11:17,9116.0,moneyfund,payment,transfer to account,u023,u013
1,2023-09-10 16:26:20,1000.0,debit_card,payment,instant transfer,u006,u027
2,2023-09-10 16:26:44,1000.0,debit_card,payment,transfer to account,u005,u015
3,2023-09-10 18:13:09,10190.0,balance,transfer to card,others,u008,u015
4,2023-09-10 18:14:30,20000.0,moneyfund,payment,instant transfer,u008,u002
5,2023-09-10 20:04:12,1000.0,debit_card,payment,transfer to account,u028,u025
6,2023-09-10 20:37:44,10000.0,moneyfund,payment,transfer to account,u014,u000
7,2023-09-10 20:38:41,1500.0,balance,transfer to card,others,u007,u016
8,2023-09-10 20:39:26,2000.0,balance,transfer to card,others,u007,u010
9,2023-09-10 20:40:19,1000.0,moneyfund,transfer to card,others,u027,u025
10,2023-09-10 20:41:51,2300.0,balance,transfer to card,others,u007,u016
11,2023-09-10 20:48:03,13000.0,debit_card,payment,transfer to account,u012,u019
12,2023-09-10 21:25:49,571.0,debit_card,payment,instant transfer,u004,u006
13,2023-09-10 21:28:16,1218.0,balance,transfer to card,others,u000,u002
14,2023-09-10 22:01:16,5000.0,moneyfund,transfer to card,others,u015,u023
15,2023-09-10 22:03:23,500.0,debit_card,payment,instant transfer,u027,u009
16,2023-09-10 22:14:28,1000.0,debit_card,payment,transfer to account,u005,u021
17,2023-09-10 22:18:16,7600.0,moneyfund,payment,transfer to account,u015,u018
18,2023-09-10 22:18:40,10000.0,balance,payment,instant transfer,u015,u010
19,2023-09-10 22:21:29,1090.0,debit_card,payment,instant transfer,u001,u002
20,2023-09-10 22:31:14,799.1,debit_card,payment,instant transfer,u026,u016
21,2023-09-10 22:40:56,599.99,balance,payment,transfer to account,u003,u011
22,2023-09-10 22:53:46,499.0,balance,transfer to card,transfer to card,u020,u022
23,2023-09-10 22:54:15,2502.5,moneyfund,transfer to card,transfer to card,u020,u024
24,2023-09-10 23:08:21,500.5,balance,transfer to card,transfer to card,u017,u014
