index,gmt_occur,amt,fund_channel,event_name,scene,user_id,opposite_user_id
0,2023-09-11 12:03:09,7762.86,balance,transfer to card,others,u015,u003
1,2023-09-11 12:11:13,4500.0,moneyfund,payment,instant transfer,u015,u002
2,2023-09-11 12:16:59,1700.0,moneyfund,payment,instant transfer,u015,u004
3,2023-09-11 13:03:30,500.0,moneyfund,payment,instant transfer,u000,u017
4,2023-09-11 13:27:04,600.0,moneyfund,payment,instant transfer,u000,u007
5,2023-09-11 19:49:27,1700.0,balance,payment,transfer to account,u007,u014
6,2023-09-11 19:53:57,1700.0,debit_card,payment,instant transfer,u014,u006
7,2023-09-11 19:55:45,1700.0,balance,payment,instant transfer,u006,u007
8,2023-09-11 20:52:36,1000.0,moneyfund,payment,transfer to account,u010,u011
9,2023-09-11 20:54:54,1000.0,moneyfund,transfer to card,others,u010,u009
10,2023-09-11 21:02:35,3000.0,debit_card,payment,instant transfer,u007,u017
11,2023-09-11 21:05:22,1253.0,moneyfund,payment,O2O,u013,u009
12,2023-09-11 21:05:38,1000.0,credit_card,payment,O2O,u013,u012
13,2023-09-11 21:33:19,586.0,moneyfund,payment,transfer to account,u011,u016
14,2023-09-11 22:08:50,3000.0,debit_card,payment,transfer to account,u005,u003
15,2023-09-11 22:09:41,1000.0,debit_card,payment,transfer to account,u005,u003
16,2023-09-11 22:45:21,5000.0,balance,payment,transfer to account,u002,u014
17,2023-09-11 23:26:52,677.0,balance,transfer to card,others,u001,u007
18,2023-09-11 23:27:16,1000.0,moneyfund,payment,transfer to account,u008,u012
19,2023-09-11 23:27:29,1000.0,balance,payment,transfer to account,u008,u012
