index,gmt_occur,amt,fund_channel,event_name,scene,user_id,opposite_user_id
0,2023-09-03 01:27:48,500.0,credit_card,payment,instant transfer,u006,u020
1,2023-09-03 01:39:57,520.0,debit_card,payment,instant transfer,u006,u023
2,2023-09-03 12:38:27,800.0,moneyfund,payment,tangible goods trade,u015,u014
3,2023-09-03 15:17:01,1500.0,credit_card,payment,instant transfer,u017,u003
4,2023-09-03 15:29:37,598.0,moneyfund,payment,instant transfer,u019,u007
5,2023-09-03 15:32:59,2650.0,balance,payment,instant transfer,u012,u004
6,2023-09-03 15:33:00,2400.0,credit_card,payment,instant transfer,u012,u020
7,2023-09-03 15:33:01,2960.0,debit_card,payment,instant transfer,u012,u005
8,2023-09-03 17:00:42,5000.0,moneyfund,payment,instant transfer,u007,u019
9,2023-09-03 17:06:22,20000.0,balance,transfer to card,others,u010,u007
10,2023-09-03 18:08:09,1680.0,balance,payment,instant transfer,u021,u015
11,2023-09-03 18:19:35,2000.0,balance,payment,transfer to account,u021,u017
12,2023-09-03 18:22:20,1000.0,debit_card,payment,transfer to account,u021,u001
13,2023-09-03 18:45:27,2500.0,balance,transfer to card,others,u021,u022
14,2023-09-03 20:35:57,1500.0,balance,transfer to card,others,u004,u003
15,2023-09-03 22:06:23,2800.0,moneyfund,payment,transfer to account,u011,u013
16,2023-09-03 22:07:19,2858.0,debit_card,payment,transfer to account,u011,u022
17,2023-09-03 22:08:46,6750.0,debit_card,payment,instant transfer,u002,u006
18,2023-09-03 22:09:05,1680.0,credit_card,payment,instant transfer,u002,u006
19,2023-09-03 22:11:02,600.0,moneyfund,payment,instant transfer,u002,u011
20,2023-09-03 22:11:03,10000.0,balance,transfer to card,others,u011,u009
21,2023-09-03 22:11:14,5000.0,balance,transfer to card,others,u011,u003
22,2023-09-03 22:14:23,10000.0,balance,transfer to card,others,u011,u013
23,2023-09-03 22:20:58,5000.0,balance,payment,O2O,u013,u017
24,2023-09-03 22:51:03,500.0,alicredit,payment,instant transfer,u005,u021
25,2023-09-03 23:01:06,2000.0,moneyfund,payment,instant transfer,u005,u009
26,2023-09-03 23:16:54,1000.0,debit_card,payment,instant transfer,u000,u001
27,2023-09-03 23:39:37,1215.0,debit_card,payment,instant transfer,u009,u013
28,2023-09-03 23:52:41,3200.0,alicredit,payment,instant transfer,u014,u007
29,2023-09-03 23:53:15,2800.0,alicredit,payment,instant transfer,u018,u007
30,2023-09-03 23:54:36,2900.0,alicredit,payment,instant transfer,u007,u016
31,2023-09-03 23:54:46,3100.0,alicredit,payment,instant transfer,u007,u008
