index,gmt_occur,amt,fund_channel,event_name,scene,user_id,opposite_user_id
0,2023-09-03 14:39:31,1000.0,debit_card,payment,instant transfer,u026,u011
1,2023-09-03 15:33:22,10000.0,balance,transfer to card,others,u019,u025
2,2023-09-03 15:36:37,1200.0,balance,transfer to card,transfer to card,u005,u016
3,2023-09-03 16:02:08,4200.0,balance,payment,instant transfer,u015,u000
4,2023-09-03 16:05:00,1187.0,moneyfund,payment,transfer to account,u018,u027
5,2023-09-03 16:10:00,1000.0,balance,payment,instant transfer,u018,u014
6,2023-09-03 16:20:09,2000.0,debit_card,payment,tangible goods trade,u007,u000
7,2023-09-03 16:25:56,5000.0,credit_card,payment,O2O,u001,u003
8,2023-09-03 16:29:56,5000.0,moneyfund,payment,transfer to account,u000,u025
9,2023-09-03 16:30:23,4500.0,balance,payment,transfer to account,u000,u020
10,2023-09-03 16:46:27,5000.0,moneyfund,payment,O2O,u001,u021
11,2023-09-03 17:15:17,809.0,alicredit,payment,instant transfer,u008,u016
12,2023-09-03 18:19:03,5000.0,debit_card,payment,instant transfer,u029,u004
13,2023-09-03 18:19:41,5000.0,balance,payment,instant transfer,u004,u009
14,2023-09-03 18:22:28,5000.0,moneyfund,payment,instant transfer,u009,u029
15,2023-09-03 20:22:17,2390.0,moneyfund,payment,instant transfer,u022,u027
16,2023-09-03 20:23:42,1097.0,balance,payment,tangible goods trade,u012,u003
17,2023-09-03 21:04:38,1800.0,moneyfund,payment,transfer to account,u006,u027
18,2023-09-03 21:50:08,2999.96,other,payment,instant transfer,u028,u003
19,2023-09-03 23:15:34,5005.0,moneyfund,transfer to card,others,u010,u003
20,2023-09-03 23:31:36,1000.0,debit_card,payment,transfer to account,u024,u002
21,2023-09-03 23:36:02,1000.0,debit_card,payment,instant transfer,u017,u013
22,2023-09-03 23:40:22,500.5,balance,transfer to card,others,u016,u023
