index,gmt_occur,amt,fund_channel,event_name,scene,user_id,opposite_user_id
0,2023-09-06 13:28:21,500.5,debit_card,transfer to card,transfer to card,u005,u012
1,2023-09-06 13:48:04,5000.0,credit_card,payment,O2O,u002,u014
2,2023-09-06 15:08:19,5000.0,moneyfund,payment,O2O,u002,u019
3,2023-09-06 15:14:21,511.0,moneyfund,payment,transfer to account,u019,u010
4,2023-09-06 15:29:58,1588.0,moneyfund,payment,instant transfer,u019,u000
5,2023-09-06 16:02:37,1000.0,alicredit,payment,instant transfer,u019,u009
6,2023-09-06 16:20:38,1001.0,moneyfund,transfer to card,transfer to card,u000,u009
7,2023-09-06 16:33:49,1860.0,moneyfund,payment,instant transfer,u014,u011
8,2023-09-06 16:36:21,5000.0,moneyfund,payment,instant transfer,u014,u001
9,2023-09-06 16:37:10,1190.0,debit_card,payment,instant transfer,u010,u008
10,2023-09-06 17:24:46,3103.1,moneyfund,transfer to card,transfer to card,u000,u017
11,2023-09-06 17:59:19,2000.0,moneyfund,payment,transfer to account,u001,u003
12,2023-09-06 20:17:37,499.97,moneyfund,payment,instant transfer,u006,u016
13,2023-09-06 20:47:18,2000.0,moneyfund,payment,transfer to account,u017,u010
14,2023-09-06 22:58:14,528.0,moneyfund,payment,instant transfer,u004,u000
15,2023-09-06 23:05:27,3500.0,moneyfund,payment,transfer to account,u008,u005
16,2023-09-06 23:07:49,1800.0,balance,transfer to card,others,u018,u005
17,2023-09-06 23:15:43,400.0,balance,payment,tangible goods trade,u012,u006
18,2023-09-06 23:19:13,600.0,balance,payment,tangible goods trade,u015,u006
19,2023-09-06 23:21:40,500.0,balance,payment,tangible goods trade,u006,u013
20,2023-09-06 23:23:45,3980.0,balance,payment,transfer to account,u008,u010
21,2023-09-06 23:24:05,500.0,balance,payment,tangible goods trade,u006,u007
