index,gmt_occur,amt,fund_channel,event_name,scene,user_id,opposite_user_id
0,2023-09-08 01:38:37,565.0,debit_card,payment,instant transfer,u019,u014
1,2023-09-08 02:26:04,600.0,balance,transfer to card,others,u019,u002
2,2023-09-08 15:03:19,738.0,balance,payment,tangible goods trade,u010,u016
3,2023-09-08 16:16:41,998.0,balance,transfer to card,transfer to card,u005,u020
4,2023-09-08 16:17:18,1001.0,debit_card,transfer to card,transfer to card,u005,u018
5,2023-09-08 16:17:38,1800.0,balance,transfer to card,transfer to card,u005,u007
6,2023-09-08 16:18:03,1501.5,debit_card,transfer to card,transfer to card,u005,u020
7,2023-09-08 17:04:08,2000.0,debit_card,payment,transfer to account,u003,u013
8,2023-09-08 17:40:31,1500.0,moneyfund,payment,instant transfer,u007,u005
9,2023-09-08 18:36:57,1000.0,balance,payment,tangible goods trade,u010,u004
10,2023-09-08 18:46:54,2200.0,alicredit,payment,instant transfer,u011,u018
11,2023-09-08 18:48:11,2200.0,alicredit,payment,tangible goods trade,u018,u010
12,2023-09-08 18:53:37,2200.0,debit_card,payment,instant transfer,u010,u011
13,2023-09-08 19:02:41,1760.0,balance,payment,tangible goods trade,u010,u009
14,2023-09-08 19:50:11,800.0,balance,transfer to card,others,u005,u022
15,2023-09-08 20:05:00,4995.0,moneyfund,payment,O2O,u020,u022
16,2023-09-08 20:10:05,5430.0,debit_card,payment,O2O,u020,u022
17,2023-09-08 20:10:58,5439.0,debit_card,payment,O2O,u020,u022
18,2023-09-08 20:16:59,533.0,debit_card,payment,instant transfer,u017,u012
19,2023-09-08 20:17:06,500.0,moneyfund,payment,transfer to account,u017,u000
20,2023-09-08 20:23:44,1700.0,balance,transfer to card,others,u003,u010
21,2023-09-08 20:36:52,10000.0,balance,transfer to card,others,u018,u001
22,2023-09-08 20:38:27,10000.0,balance,transfer to card,others,u018,u005
23,2023-09-08 20:39:16,10000.0,balance,transfer to card,others,u018,u005
24,2023-09-08 20:39:46,10000.0,moneyfund,payment,transfer to account,u018,u001
25,2023-09-08 20:53:59,1000.0,balance,transfer to card,others,u000,u019
26,2023-09-08 21:31:01,1000.0,debit_card,payment,instant transfer,u000,u008
27,2023-09-08 21:35:10,1000.0,balance,transfer to card,others,u006,u022
28,2023-09-08 22:16:23,10000.0,debit_card,payment,O2O,u015,u011
29,2023-09-08 23:09:15,1000.0,debit_card,payment,instant transfer,u021,u015
30,2023-09-08 23:19:11,1200.0,debit_card,payment,tangible goods trade,u008,u017
31,2023-09-08 23:22:48,648.0,debit_card,payment,instant transfer,u021,u015
32,2023-09-08 23:29:45,1398.0,alicredit,payment,tangible goods trade,u008,u019
33,2023-09-08 23:43:22,50000.0,balance,transfer to card,others,u022,u005
34,2023-09-08 23:43:39,30000.0,balance,transfer to card,withdrawal,u022,u018
35,2023-09-08 23:43:54,44450.0,balance,transfer to card,withdrawal,u022,u006
36,2023-09-08 23:44:04,20000.0,balance,transfer to card,withdrawal,u022,u018
37,2023-09-08 23:44:24,50050.0,balance,transfer to card,withdrawal,u022,u018
38,2023-09-08 23:44:42,20000.0,balance,transfer to card,withdrawal,u022,u018
39,2023-09-08 23:52:37,1000.0,balance,payment,instant transfer,u021,u011
